[  4.80266763e-09   8.15731944e+04]
[  5.25324040e-09   8.36612693e+04]
[  5.16921165e-09   8.44186354e+04]
[  5.19529123e-09   8.40507354e+04]
[  5.94940116e-09   8.30671836e+04]
[  5.32794744e-09   8.33107143e+04]
[  5.47113053e-09   8.24298029e+04]
[  5.98923121e-09   8.41098129e+04]
[  4.65887744e-09   8.38814126e+04]
[  6.06562771e-09   8.44371144e+04]
[  6.03696014e-09   8.44281289e+04]
[  5.77392758e-09   8.32380789e+04]
[  5.20681689e-09   8.22585561e+04]
[  5.98784688e-09   8.42649534e+04]
[  4.87615830e-09   8.23611238e+04]
[  5.84930037e-09   8.30492694e+04]
[  5.77236332e-09   8.29506888e+04]
[  5.44210755e-09   8.43430287e+04]
[  5.32726947e-09   8.33720547e+04]
[  5.23949320e-09   8.29178186e+04]
[  5.78715022e-09   8.42256719e+04]
[  5.21039576e-09   8.32979405e+04]
[  5.93168035e-09   8.22719698e+04]
[  5.29647442e-09   8.34930775e+04]
[  5.34867219e-09   8.43215018e+04]
[  6.35925996e-09   8.42633122e+04]
[  6.62165793e-09   8.30860331e+04]
[  4.46423300e-09   8.47747881e+04]
[  5.89767044e-09   8.17978611e+04]
[  5.71233052e-09   8.46599061e+04]
[  6.06475947e-09   8.35975097e+04]
[  5.66943828e-09   8.29395344e+04]
[  4.92966217e-09   8.37475249e+04]
[  5.76071981e-09   8.25278262e+04]
[  4.74438038e-09   8.40447203e+04]
[  5.00983047e-09   8.30469684e+04]
[  6.17959494e-09   8.29302755e+04]
[  5.28625464e-09   8.41162192e+04]
[  6.06401659e-09   8.41779575e+04]
[  4.75211836e-09   8.33798435e+04]
[  5.13668545e-09   8.33572731e+04]
[  4.98826233e-09   8.29896466e+04]
[  5.41547514e-09   8.28129974e+04]
[  5.14301967e-09   8.14523319e+04]
[  5.26754152e-09   8.41159586e+04]
[  5.91494083e-09   8.41650761e+04]
[  6.39837489e-09   8.26448304e+04]
[  5.43812136e-09   8.44086368e+04]
[  6.27319532e-09   8.35186928e+04]
[  5.51359644e-09   8.28398639e+04]
[  4.89769626e-09   8.34665976e+04]
[  5.47770149e-09   8.41751977e+04]
[  4.89082705e-09   8.19423564e+04]
[  5.53557324e-09   8.18105636e+04]
[  6.26358002e-09   8.14885812e+04]
[  5.94863430e-09   8.29562939e+04]
[  5.17426411e-09   8.34383478e+04]
[  7.20763560e-09   8.36309017e+04]
[  6.14343665e-09   8.13735599e+04]
[  4.74743242e-09   8.42086054e+04]
[  5.58996743e-09   8.24878247e+04]
[  6.15996059e-09   8.29950659e+04]
[  5.56227840e-09   8.40749064e+04]
[  5.37006460e-09   8.47867596e+04]
[  3.96924292e-09   8.29104652e+04]
[  5.26615149e-09   8.41782454e+04]
[  5.71088441e-09   8.40529802e+04]
[  5.33497178e-09   8.31504480e+04]
[  5.90699656e-09   8.17926492e+04]
[  5.38602162e-09   8.37862214e+04]
[  5.77688693e-09   8.28339036e+04]
[  5.73920761e-09   8.38047330e+04]
[  5.50283475e-09   8.39879339e+04]
[  6.02019377e-09   8.23528628e+04]
[  5.76074572e-09   8.41309184e+04]
[  5.70214109e-09   8.19585997e+04]
[  5.32466260e-09   8.45918046e+04]
[  5.01339312e-09   8.51349358e+04]
[  4.81162091e-09   8.47970056e+04]
[  5.02671504e-09   8.32141491e+04]
[  5.69702774e-09   8.45114328e+04]
[  5.53455129e-09   8.46243307e+04]
[  5.09598111e-09   8.46869121e+04]
[  5.82440309e-09   8.31981454e+04]
[  5.78282035e-09   8.43468928e+04]
[  5.23723641e-09   8.31728934e+04]
[  5.07161660e-09   8.27731440e+04]
[  5.02371132e-09   8.28768868e+04]
[  5.08878100e-09   8.35666675e+04]
[  6.33967058e-09   8.53225644e+04]
[  4.97313168e-09   8.23759737e+04]
[  5.70574737e-09   8.37605085e+04]
[  5.06966807e-09   8.20436981e+04]
[  5.89329130e-09   8.21649257e+04]
[  4.73676451e-09   8.22089514e+04]
[  4.89278933e-09   8.33019153e+04]
[  5.02972075e-09   8.44294442e+04]
[  5.31264350e-09   8.36545044e+04]
[  4.73125847e-09   8.30125108e+04]
[  5.47748007e-09   8.29706439e+04]
[  5.95787618e-09   8.44302680e+04]
[  5.67523585e-09   8.50073551e+04]
[  4.96479187e-09   8.23500685e+04]
[  5.24792410e-09   8.39785445e+04]
[  4.96387903e-09   8.48614527e+04]
[  6.05037558e-09   8.37091204e+04]
[  5.36385856e-09   8.33352108e+04]
[  5.33932718e-09   8.40971924e+04]
[  5.12702472e-09   8.19028528e+04]
[  5.46798287e-09   8.36216109e+04]
[  4.83260325e-09   8.34357752e+04]
[  6.00714919e-09   8.45924659e+04]
[  5.84592168e-09   8.41724098e+04]
[  5.63591590e-09   8.28760720e+04]
[  5.48825691e-09   8.34542858e+04]
[  5.24782662e-09   8.34422138e+04]
[  5.49953052e-09   8.41723495e+04]
[  5.53930808e-09   8.52237313e+04]
[  4.60021449e-09   8.55371968e+04]
[  5.74196370e-09   8.35415780e+04]
[  5.65964301e-09   8.24527449e+04]
[  5.71311432e-09   8.16162779e+04]
[  5.41858683e-09   8.53023967e+04]
[  5.97897176e-09   8.33542120e+04]
[  5.93123898e-09   8.33529863e+04]
[  5.02631535e-09   8.08165274e+04]
[  4.79431845e-09   8.45443245e+04]
[  6.18692161e-09   8.30829480e+04]
[  5.34910628e-09   8.29910826e+04]
[  5.28278432e-09   8.30948239e+04]
[  5.05499817e-09   8.43896482e+04]
[  6.27011356e-09   8.19273458e+04]
[  4.89521077e-09   8.43815772e+04]
[  5.28501471e-09   8.27555023e+04]
[  6.21927840e-09   8.28559971e+04]
[  5.15381357e-09   8.26088018e+04]
[  5.43742181e-09   8.27507348e+04]
[  5.25639230e-09   8.44305437e+04]
[  6.16979284e-09   8.42572272e+04]
[  6.84530083e-09   8.24337961e+04]
[  5.28866593e-09   8.27264933e+04]
[  4.59178331e-09   8.29012916e+04]
[  4.79949165e-09   8.40216736e+04]
[  5.35608449e-09   8.36074722e+04]
[  5.41557058e-09   8.31335656e+04]
[  5.57308485e-09   8.23280354e+04]
[  5.09421142e-09   8.27050779e+04]
[  5.29676978e-09   8.47143676e+04]
[  4.86357758e-09   8.39553905e+04]
[  6.70704538e-09   8.34945542e+04]
[  5.55922682e-09   8.38960815e+04]
[  5.47629343e-09   8.42685075e+04]
[  5.17974625e-09   8.36324548e+04]
[  6.16680555e-09   8.31443185e+04]
[  6.79954087e-09   8.41223559e+04]
